Label_Name,Top1_Correct_Counts,Top1_Total_Samples,Top1_Accuracy,Top3_Indices_1,Top3_Indices_2,Top3_Indices_3,Top3_Counts_1,Top3_Counts_2,Top3_Counts_3,Top3_Total_Samples,Top3_Accuracy,Top3_Probability_1,Top3_Probability_2,Top3_Probability_3
bottle-broken_large,24,44,0.5454545454545454,0,1,2,41,41,16,123,0.9318181818181818,0.3333333333333333,0.3333333333333333,0.13008130081300814
bottle-broken_small,36,40,0.9,1,2,0,40,39,28,120,1.0,0.3333333333333333,0.325,0.23333333333333334
bottle-contamination,34,43,0.7906976744186046,2,3,42,43,37,22,129,1.0,0.3333333333333333,0.2868217054263566,0.17054263565891473
bottle-good,57,57,1.0,2,3,1,57,57,37,171,1.0,0.3333333333333333,0.3333333333333333,0.21637426900584794
cable-bent_wire,23,37,0.6216216216216216,4,7,58,31,23,9,93,0.8378378378378378,0.3333333333333333,0.24731182795698925,0.0967741935483871
cable-cable_swap,8,34,0.23529411764705882,5,8,9,25,15,13,75,0.7352941176470589,0.3333333333333333,0.2,0.17333333333333334
cable-combined,11,35,0.3142857142857143,6,11,4,14,7,7,42,0.4,0.3333333333333333,0.16666666666666666,0.16666666666666666
cable-cut_inner_insulation,22,34,0.6470588235294118,7,4,9,28,16,11,84,0.8235294117647058,0.3333333333333333,0.19047619047619047,0.13095238095238096
cable-cut_outer_insulation,20,37,0.5405405405405406,8,7,12,36,24,18,108,0.972972972972973,0.3333333333333333,0.2222222222222222,0.16666666666666666
cable-good,70,70,1.0,9,5,11,70,38,37,210,1.0,0.3333333333333333,0.18095238095238095,0.1761904761904762
cable-missing_cable,26,39,0.6666666666666666,10,6,11,36,21,21,108,0.9230769230769231,0.3333333333333333,0.19444444444444445,0.19444444444444445
cable-missing_wire,22,37,0.5945945945945946,11,6,12,33,27,23,99,0.8918918918918919,0.3333333333333333,0.2727272727272727,0.23232323232323232
cable-poke_insulation,5,34,0.14705882352941177,12,11,9,24,16,10,72,0.7058823529411765,0.3333333333333333,0.2222222222222222,0.1388888888888889
capsule-crack,9,49,0.1836734693877551,13,17,16,29,25,18,87,0.5918367346938775,0.3333333333333333,0.28735632183908044,0.20689655172413793
capsule-faulty_imprint,1,41,0.024390243902439025,14,17,16,20,19,9,60,0.4878048780487805,0.3333333333333333,0.31666666666666665,0.15
capsule-good,60,60,1.0,15,17,18,60,57,27,180,1.0,0.3333333333333333,0.31666666666666665,0.15
capsule-poke,4,44,0.09090909090909091,17,16,18,21,21,11,63,0.4772727272727273,0.3333333333333333,0.3333333333333333,0.1746031746031746
capsule-scratch,20,44,0.45454545454545453,17,18,13,43,28,23,129,0.9772727272727273,0.3333333333333333,0.21705426356589147,0.17829457364341086
capsule-squeeze,10,40,0.25,18,17,15,23,22,9,69,0.575,0.3333333333333333,0.3188405797101449,0.13043478260869565
carpet-color,13,34,0.38235294117647056,19,22,23,30,26,11,90,0.8823529411764706,0.3333333333333333,0.28888888888888886,0.12222222222222222
carpet-cut,17,37,0.4594594594594595,20,22,19,33,32,14,99,0.8918918918918919,0.3333333333333333,0.32323232323232326,0.1414141414141414
carpet-good,75,77,0.974025974025974,21,19,23,75,60,33,225,0.974025974025974,0.3333333333333333,0.26666666666666666,0.14666666666666667
carpet-hole,13,33,0.3939393939393939,22,20,19,32,25,13,96,0.9696969696969697,0.3333333333333333,0.2604166666666667,0.13541666666666666
carpet-metal_contamination,0,37,0.0,23,19,22,16,12,9,48,0.43243243243243246,0.3333333333333333,0.25,0.1875
carpet-thread,8,32,0.25,24,22,20,27,23,18,81,0.84375,0.3333333333333333,0.2839506172839506,0.2222222222222222
grid-bent,11,39,0.28205128205128205,25,27,29,20,11,11,60,0.5128205128205128,0.3333333333333333,0.18333333333333332,0.18333333333333332
grid-broken,7,34,0.20588235294117646,26,27,30,25,21,15,75,0.7352941176470589,0.3333333333333333,0.28,0.2
grid-glue,16,37,0.43243243243243246,27,29,26,23,17,10,69,0.6216216216216216,0.3333333333333333,0.2463768115942029,0.14492753623188406
grid-good,59,71,0.8309859154929577,28,25,27,69,35,34,207,0.971830985915493,0.3333333333333333,0.16908212560386474,0.1642512077294686
grid-metal_contamination,8,38,0.21052631578947367,29,25,26,19,11,8,57,0.5,0.3333333333333333,0.19298245614035087,0.14035087719298245
grid-thread,4,36,0.1111111111111111,30,26,25,20,13,11,60,0.5555555555555556,0.3333333333333333,0.21666666666666667,0.18333333333333332
hazelnut-crack,24,35,0.6857142857142857,31,32,34,35,23,11,105,1.0,0.3333333333333333,0.21904761904761905,0.10476190476190476
hazelnut-cut,24,38,0.631578947368421,32,34,31,38,31,20,114,1.0,0.3333333333333333,0.2719298245614035,0.17543859649122806
hazelnut-good,104,107,0.9719626168224299,33,35,32,106,94,59,318,0.9906542056074766,0.3333333333333333,0.29559748427672955,0.18553459119496854
hazelnut-hole,31,34,0.9117647058823529,34,35,31,34,25,20,102,1.0,0.3333333333333333,0.24509803921568626,0.19607843137254902
hazelnut-print,33,36,0.9166666666666666,35,34,32,36,22,21,108,1.0,0.3333333333333333,0.2037037037037037,0.19444444444444445
leather-color,31,33,0.9393939393939394,36,41,38,33,27,27,99,1.0,0.3333333333333333,0.2727272727272727,0.2727272727272727
leather-cut,20,32,0.625,37,39,38,26,23,15,78,0.8125,0.3333333333333333,0.2948717948717949,0.19230769230769232
leather-fold,10,33,0.30303030303030304,38,41,36,31,22,17,93,0.9393939393939394,0.3333333333333333,0.23655913978494625,0.1827956989247312
leather-glue,4,32,0.125,39,37,38,29,26,12,87,0.90625,0.3333333333333333,0.2988505747126437,0.13793103448275862
leather-good,64,69,0.927536231884058,40,37,39,68,53,36,204,0.9855072463768116,0.3333333333333333,0.25980392156862747,0.17647058823529413
leather-poke,4,34,0.11764705882352941,41,38,36,28,23,18,84,0.8235294117647058,0.3333333333333333,0.27380952380952384,0.21428571428571427
metal_nut-bent,34,52,0.6538461538461539,42,43,46,48,46,34,144,0.9230769230769231,0.3333333333333333,0.3194444444444444,0.2361111111111111
metal_nut-color,27,47,0.574468085106383,43,42,44,47,47,21,141,1.0,0.3333333333333333,0.3333333333333333,0.14893617021276595
metal_nut-flip,19,19,1.0,44,42,43,19,18,17,57,1.0,0.3333333333333333,0.3157894736842105,0.2982456140350877
metal_nut-good,46,60,0.7666666666666667,45,42,43,60,56,44,180,1.0,0.3333333333333333,0.3111111111111111,0.24444444444444444
metal_nut-scratch,17,37,0.4594594594594595,46,43,42,29,25,22,87,0.7837837837837838,0.3333333333333333,0.28735632183908044,0.25287356321839083
pill-color,49,57,0.8596491228070176,47,51,54,56,27,26,168,0.9824561403508771,0.3333333333333333,0.16071428571428573,0.15476190476190477
pill-combined,25,32,0.78125,48,54,50,31,27,13,93,0.96875,0.3333333333333333,0.2903225806451613,0.13978494623655913
pill-contamination,1,41,0.024390243902439025,49,47,51,23,15,14,69,0.5609756097560976,0.3333333333333333,0.21739130434782608,0.2028985507246377
pill-crack,10,52,0.19230769230769232,50,47,49,26,24,15,78,0.5,0.3333333333333333,0.3076923076923077,0.19230769230769232
pill-faulty_imprint,14,35,0.4,51,47,49,28,22,18,84,0.8,0.3333333333333333,0.2619047619047619,0.21428571428571427
pill-good,52,73,0.7123287671232876,52,47,51,71,62,30,213,0.9726027397260274,0.3333333333333333,0.29107981220657275,0.14084507042253522
pill-pill_type,35,35,1.0,53,51,48,35,22,20,105,1.0,0.3333333333333333,0.20952380952380953,0.19047619047619047
pill-scratch,7,54,0.12962962962962962,54,47,51,28,22,15,84,0.5185185185185185,0.3333333333333333,0.2619047619047619,0.17857142857142858
screw-good,67,90,0.7444444444444445,55,60,56,89,62,48,267,0.9888888888888889,0.3333333333333333,0.23220973782771537,0.1797752808988764
screw-manipulated_front,26,47,0.5531914893617021,56,57,60,41,27,25,123,0.8723404255319149,0.3333333333333333,0.21951219512195122,0.2032520325203252
screw-scratch_head,17,52,0.3269230769230769,57,56,60,34,27,15,102,0.6538461538461539,0.3333333333333333,0.2647058823529412,0.14705882352941177
screw-scratch_neck,23,53,0.4339622641509434,58,59,60,35,25,23,105,0.660377358490566,0.3333333333333333,0.23809523809523808,0.21904761904761905
screw-thread_side,1,43,0.023255813953488372,59,60,57,19,13,13,57,0.4418604651162791,0.3333333333333333,0.22807017543859648,0.22807017543859648
screw-thread_top,10,41,0.24390243902439024,60,56,59,28,20,16,84,0.6829268292682927,0.3333333333333333,0.23809523809523808,0.19047619047619047
tile-crack,25,37,0.6756756756756757,61,62,65,30,27,8,90,0.8108108108108109,0.3333333333333333,0.3,0.08888888888888889
tile-glue_strip,27,37,0.7297297297297297,62,65,66,35,23,17,105,0.9459459459459459,0.3333333333333333,0.21904761904761905,0.1619047619047619
tile-good,63,65,0.9692307692307692,63,64,65,65,63,44,195,1.0,0.3333333333333333,0.3230769230769231,0.22564102564102564
tile-gray_stroke,10,39,0.2564102564102564,64,66,65,37,30,29,111,0.9487179487179487,0.3333333333333333,0.2702702702702703,0.26126126126126126
tile-oil,10,36,0.2777777777777778,65,64,66,32,31,24,96,0.8888888888888888,0.3333333333333333,0.3229166666666667,0.25
tile-rough,17,37,0.4594594594594595,66,65,64,32,27,18,96,0.8648648648648649,0.3333333333333333,0.28125,0.1875
toothbrush-defective,50,59,0.847457627118644,67,68,43,59,38,28,177,1.0,0.3333333333333333,0.21468926553672316,0.15819209039548024
toothbrush-good,18,18,1.0,68,67,50,18,17,5,54,1.0,0.3333333333333333,0.3148148148148148,0.09259259259259259
transistor-bent_lead,7,38,0.18421052631578946,69,71,72,30,27,20,90,0.7894736842105263,0.3333333333333333,0.3,0.2222222222222222
transistor-cut_lead,7,34,0.20588235294117646,70,71,69,26,23,16,78,0.7647058823529411,0.3333333333333333,0.2948717948717949,0.20512820512820512
transistor-damaged_case,27,36,0.75,71,70,69,36,28,20,108,1.0,0.3333333333333333,0.25925925925925924,0.18518518518518517
transistor-good,68,68,1.0,72,71,69,68,62,31,204,1.0,0.3333333333333333,0.30392156862745096,0.15196078431372548
transistor-misplaced,28,33,0.8484848484848485,73,69,71,33,26,14,99,1.0,0.3333333333333333,0.26262626262626265,0.1414141414141414
wood-color,3,35,0.08571428571428572,74,78,77,15,9,9,45,0.42857142857142855,0.3333333333333333,0.2,0.2
wood-combined,6,34,0.17647058823529413,75,74,77,16,12,10,48,0.47058823529411764,0.3333333333333333,0.25,0.20833333333333334
wood-good,66,66,1.0,76,78,77,66,52,27,198,1.0,0.3333333333333333,0.26262626262626265,0.13636363636363635
